date,hour,bdaddr
2022-06-05,4,3389
2022-06-05,5,4702
2022-06-05,6,5421
2022-06-05,7,6672
2022-06-05,8,9557
2022-06-05,9,19316
2022-06-05,10,35838
2022-06-05,11,45976
2022-06-05,12,36618
2022-06-05,13,32293
2022-06-05,14,31578
2022-06-05,15,32938
2022-06-05,16,31607
2022-06-05,17,30069
2022-06-05,18,25321
2022-06-05,19,19075
2022-06-05,20,13499
2022-06-05,21,9424
2022-06-05,22,8501
2022-06-05,23,6772
2022-06-06,0,5148
2022-06-06,1,4945
2022-06-06,2,4809
2022-06-06,3,4603
2022-06-06,4,3064
2022-06-06,5,4010
2022-06-06,6,6662
2022-06-06,7,12040
2022-06-06,8,17635
2022-06-06,9,16645
2022-06-06,10,17904
2022-06-06,11,21772
2022-06-06,12,24755
2022-06-06,13,19280
2022-06-06,14,20027
2022-06-06,15,19031
2022-06-06,16,19122
2022-06-06,17,19072
2022-06-06,18,18122
2022-06-06,19,16461
2022-06-06,20,10810
2022-06-06,21,8095
2022-06-06,22,6872
2022-06-06,23,5651
2022-06-07,0,4844
2022-06-07,1,3390
2022-06-07,2,4039
2022-06-07,3,3922
2022-06-07,4,3736
2022-06-07,5,4438
2022-06-07,6,5808
2022-06-07,7,11054
2022-06-07,8,16733
2022-06-07,9,16118
2022-06-07,10,17001
2022-06-07,11,19624
2022-06-07,12,23083
2022-06-07,13,19682
2022-06-07,14,19893
2022-06-07,15,19635
2022-06-07,16,19473
2022-06-07,17,20373
2022-06-07,18,19358
2022-06-07,19,16033
2022-06-07,20,13276
2022-06-07,21,10832
2022-06-07,22,8927
2022-06-07,23,6996
2022-06-08,0,5472
2022-06-08,1,5023
2022-06-08,2,4897
2022-06-08,3,4379
2022-06-08,4,3684
2022-06-08,5,4432
2022-06-08,6,5915
2022-06-08,7,11966
2022-06-08,8,18065
2022-06-08,9,15273
2022-06-08,10,15607
2022-06-08,11,17760
2022-06-08,12,19229
2022-06-08,13,15770
2022-06-08,14,16931
2022-06-08,15,16922
2022-06-08,16,18173
2022-06-08,17,22007
2022-06-08,18,19551
2022-06-08,19,17271
2022-06-08,20,14386
2022-06-08,21,10885
2022-06-08,22,8819
2022-06-08,23,6848
2022-06-09,0,5857
2022-06-09,1,5172
2022-06-09,2,4894
2022-06-09,3,4741
2022-06-09,4,3312
2022-06-09,5,4499
2022-06-09,6,7194
2022-06-09,7,14006
2022-06-09,8,21610
2022-06-09,9,20644
2022-06-09,10,26195
2022-06-09,11,27802
2022-06-09,12,29630
2022-06-09,13,25907
2022-06-09,14,24413
2022-06-09,15,24522
2022-06-09,16,24280
2022-06-09,17,27154
2022-06-09,18,26531
2022-06-09,19,22961
2022-06-09,20,16685
2022-06-09,21,12576
2022-06-09,22,9403
2022-06-09,23,7485
2022-06-10,0,5776
2022-06-10,1,5358
2022-06-10,2,5387
2022-06-10,3,4755
2022-06-10,4,4262
2022-06-10,5,4864
2022-06-10,6,6518
2022-06-10,7,10858
2022-06-10,8,15199
2022-06-10,9,18281
2022-06-10,10,20685
2022-06-10,11,24957
2022-06-10,12,28026
2022-06-10,13,27239
2022-06-10,14,24491
2022-06-10,15,23999
2022-06-10,16,25341
2022-06-10,17,26853
2022-06-10,18,28612
2022-06-10,19,23727
2022-06-10,20,18153
2022-06-10,21,12576
2022-06-10,22,9159
2022-06-10,23,6823
2022-06-11,0,5727
2022-06-11,1,4949
2022-06-11,2,4346
2022-06-11,3,3931
2022-06-11,4,3264
2022-06-11,5,4077
2022-06-11,6,4424
2022-06-11,7,6688
2022-06-11,8,8664
2022-06-11,9,14677
2022-06-11,10,21522
2022-06-11,11,27008
2022-06-11,12,27440
2022-06-11,13,29834
2022-06-11,14,30590
2022-06-11,15,29236
2022-06-11,16,29005
2022-06-11,17,27348
2022-06-11,18,25200
2022-06-11,19,21297
2022-06-11,20,15755
2022-06-11,21,11433
2022-06-11,22,9301
2022-06-11,23,8155
2022-06-12,0,6207
2022-06-12,1,5796
2022-06-12,2,5098
2022-06-12,3,4550
2022-06-12,4,3527
2022-06-12,5,5322
2022-06-12,6,5271
2022-06-12,7,6092
2022-06-12,8,9650
2022-06-12,9,15944
2022-06-12,10,21145
2022-06-12,11,23926
2022-06-12,12,25838
2022-06-12,13,28397
2022-06-12,14,27944
2022-06-12,15,28156
2022-06-12,16,26920
2022-06-12,17,25437
2022-06-12,18,22566
2022-06-12,19,17187
2022-06-12,20,13640
2022-06-12,21,10278
2022-06-12,22,7993
2022-06-12,23,6514
2022-06-13,0,5884
2022-06-13,1,5276
2022-06-13,2,4952
2022-06-13,3,4707
2022-06-13,4,4104
2022-06-13,5,4950
2022-06-13,6,6917
2022-06-13,7,12112
2022-06-13,8,16314
2022-06-13,9,15203
2022-06-13,10,17629
2022-06-13,11,20662
2022-06-13,12,23565
2022-06-13,13,22888
2022-06-13,14,20752
2022-06-13,15,19512
2022-06-13,16,19489
2022-06-13,17,21149
2022-06-13,18,21304
2022-06-13,19,16685
2022-06-13,20,11288
2022-06-13,21,8593
2022-06-13,22,6962
2022-06-13,23,5731
2022-06-14,0,4672
2022-06-14,1,4987
2022-06-14,2,4803
2022-06-14,3,4570
2022-06-14,4,3929
2022-06-14,5,4438
2022-06-14,6,5848
2022-06-14,7,12475
2022-06-14,8,16042
